edad,genero,zona,promedio_calificaciones,tasa_asistencia,reprobaciones_previas,nivel_socioeconomico,educacion_padre,educacion_madre,trabaja_estudiante,distancia_escuela,acceso_internet,actividades_extracurriculares,apoyo_familiar,incidencias_disciplinarias,cambios_escuela,beca,desercion
20,M,Rural,72.1,77.2,2,Medio,Primaria,Superior,1,10.3,1,0,Bajo,2,0,1,0
17,F,Rural,72.1,82.4,0,Medio,Primaria,Secundaria,0,7.2,1,0,Alto,0,0,0,0
15,M,Rural,61.0,57.4,4,Bajo,Secundaria,Superior,1,4.4,1,0,Alto,2,0,0,0
19,F,Rural,63.1,71.7,4,Bajo,Secundaria,Secundaria,0,6.5,1,0,Alto,1,0,0,0
18,F,Rural,59.0,82.0,2,Bajo,Secundaria,Superior,0,11.6,1,1,Bajo,1,0,0,1
18,F,Rural,70.6,76.7,2,Bajo,Secundaria,Primaria,0,8.9,0,1,Medio,4,1,0,0
14,M,Urbana,93.1,86.9,0,Bajo,Primaria,Primaria,0,6.0,0,0,Alto,0,0,0,0
16,M,Rural,82.1,97.0,1,Alto,Secundaria,Superior,0,8.8,1,1,Medio,0,1,0,0
19,F,Urbana,93.0,100.0,0,Medio,Secundaria,Primaria,0,3.1,1,1,Medio,0,0,1,0
19,M,Rural,81.7,100.0,1,Medio,Secundaria,Primaria,0,6.5,1,1,Medio,0,0,1,0
17,F,Urbana,76.0,88.8,2,Medio,Ninguno,Secundaria,0,2.4,1,0,Bajo,3,0,1,0
19,M,Urbana,56.9,94.5,1,Medio,Secundaria,Secundaria,0,5.9,0,0,Medio,0,0,1,0
19,M,Rural,70.3,80.9,2,Bajo,Secundaria,Primaria,0,10.7,1,0,Bajo,1,0,1,0
16,F,Urbana,71.9,91.1,1,Bajo,Ninguno,Primaria,0,3.4,1,0,Medio,0,0,0,0
20,F,Urbana,80.9,94.7,0,Bajo,Secundaria,Primaria,0,0.3,1,1,Medio,0,0,0,0
16,M,Rural,72.3,86.7,1,Medio,Primaria,Primaria,0,14.0,1,0,Bajo,2,0,1,1
15,F,Urbana,66.4,76.0,1,Medio,Primaria,Primaria,0,6.9,1,1,Bajo,0,0,0,1
18,M,Urbana,67.6,88.8,1,Medio,Secundaria,Secundaria,0,3.0,1,1,Alto,1,0,0,0
18,F,Urbana,84.6,100.0,0,Medio,Primaria,Secundaria,0,1.5,1,0,Medio,0,0,0,1
14,F,Urbana,65.7,99.6,0,Alto,Secundaria,Primaria,0,0.7,1,1,Medio,0,0,0,0
19,F,Urbana,68.1,88.4,1,Bajo,Secundaria,Primaria,0,1.2,0,0,Alto,0,0,1,0
15,F,Rural,72.9,100.0,0,Medio,Ninguno,Secundaria,0,6.0,1,1,Medio,0,0,0,0
19,M,Rural,63.2,86.3,0,Medio,Primaria,Primaria,0,8.4,1,1,Medio,0,1,0,0
14,F,Rural,76.1,89.5,1,Medio,Primaria,Primaria,0,5.7,1,1,Medio,0,0,0,0
19,M,Rural,68.3,83.9,0,Medio,Primaria,Primaria,0,5.4,1,1,Medio,0,0,0,0
19,M,Urbana,70.6,100.0,0,Medio,Secundaria,Secundaria,0,15.7,1,1,Medio,0,0,0,0
19,M,Rural,57.3,67.1,3,Bajo,Ninguno,Ninguno,1,8.7,1,0,Bajo,4,3,0,1
18,M,Urbana,74.7,93.0,0,Medio,Superior,Primaria,0,3.1,1,1,Alto,0,0,0,0
17,F,Urbana,88.7,89.9,0,Alto,Primaria,Secundaria,0,4.8,1,0,Medio,0,0,0,0
18,M,Rural,63.2,77.9,3,Medio,Primaria,Superior,0,7.6,1,1,Bajo,2,1,0,0
15,M,Rural,58.2,74.8,2,Alto,Superior,Secundaria,0,5.6,1,1,Medio,2,0,0,0
19,M,Urbana,77.1,75.7,4,Medio,Primaria,Superior,0,2.2,1,0,Bajo,2,0,0,0
17,F,Rural,70.1,82.5,1,Medio,Secundaria,Secundaria,0,7.4,0,1,Medio,1,0,0,0
17,F,Urbana,83.2,92.1,1,Medio,Secundaria,Primaria,0,0.6,1,0,Alto,0,0,0,0
17,F,Urbana,83.7,91.9,4,Medio,Superior,Primaria,0,0.3,0,1,Alto,1,0,0,0
17,M,Urbana,77.3,100.0,0,Alto,Ninguno,Ninguno,0,0.0,1,0,Alto,0,0,0,0
14,M,Urbana,90.9,100.0,0,Bajo,Ninguno,Primaria,1,2.5,1,1,Medio,0,0,0,0
14,F,Urbana,69.9,85.4,2,Medio,Superior,Primaria,0,2.8,1,0,Medio,1,0,0,1
15,F,Urbana,75.9,99.5,0,Medio,Ninguno,Primaria,0,1.5,1,1,Bajo,0,0,0,0
14,F,Urbana,73.4,100.0,1,Alto,Secundaria,Secundaria,0,5.4,1,1,Medio,0,1,0,0
17,F,Urbana,79.7,99.0,0,Medio,Secundaria,Secundaria,0,3.4,1,1,Medio,0,0,0,0
18,F,Rural,52.2,69.6,5,Alto,Secundaria,Primaria,0,7.0,0,0,Bajo,4,1,0,1
18,F,Urbana,48.2,66.3,2,Alto,Secundaria,Secundaria,0,0.1,1,1,Bajo,1,0,1,1
17,M,Rural,55.0,55.0,5,Bajo,Secundaria,Primaria,0,6.3,0,1,Bajo,3,1,1,0
19,M,Urbana,80.5,83.6,0,Alto,Ninguno,Secundaria,1,1.8,1,0,Medio,0,1,0,0
17,M,Urbana,55.6,78.5,1,Alto,Secundaria,Secundaria,0,10.6,0,0,Bajo,1,2,0,0
14,M,Rural,73.0,76.1,1,Bajo,Secundaria,Primaria,0,7.1,0,0,Medio,1,0,0,1
19,M,Urbana,86.0,84.4,1,Medio,Secundaria,Primaria,1,0.2,1,1,Medio,2,0,0,0
18,F,Urbana,69.2,86.4,2,Bajo,Superior,Superior,1,0.1,1,0,Medio,1,0,0,1
18,M,Urbana,58.3,69.9,3,Medio,Primaria,Secundaria,0,8.3,1,1,Bajo,1,0,1,1
17,M,Urbana,83.7,88.0,0,Bajo,Primaria,Secundaria,0,0.5,0,1,Medio,0,0,0,0
17,M,Urbana,85.0,100.0,0,Medio,Superior,Ninguno,0,7.3,0,0,Alto,0,0,0,0
14,M,Urbana,81.2,91.9,0,Medio,Superior,Primaria,0,1.1,0,0,Medio,0,0,0,0
17,M,Urbana,85.6,98.8,1,Medio,Ninguno,Primaria,0,1.0,1,1,Medio,1,0,1,0
19,M,Urbana,76.6,88.5,0,Bajo,Secundaria,Superior,1,4.0,1,1,Medio,1,0,1,0
16,F,Urbana,81.5,83.3,2,Medio,Primaria,Primaria,0,3.7,1,1,Bajo,1,0,0,1
18,F,Urbana,82.3,98.2,0,Medio,Ninguno,Primaria,0,1.4,1,1,Medio,0,0,0,0
14,M,Rural,74.5,78.2,1,Medio,Primaria,Superior,0,13.7,1,0,Medio,1,0,0,0
16,F,Urbana,73.7,76.5,3,Bajo,Superior,Secundaria,0,4.9,0,1,Medio,1,0,0,1
17,F,Urbana,52.5,87.1,2,Bajo,Ninguno,Primaria,0,0.7,1,1,Alto,0,0,0,0
20,F,Urbana,78.0,74.7,1,Medio,Ninguno,Secundaria,1,4.2,1,0,Alto,2,2,0,0
15,M,Urbana,70.3,79.1,2,Alto,Secundaria,Secundaria,0,2.9,1,1,Medio,0,0,0,1
15,F,Urbana,65.8,70.0,2,Bajo,Primaria,Superior,1,0.3,1,1,Medio,2,1,0,1
16,M,Urbana,93.6,100.0,0,Medio,Ninguno,Ninguno,0,1.6,1,1,Alto,0,0,0,0
20,M,Urbana,78.4,100.0,0,Bajo,Primaria,Secundaria,0,8.5,1,1,Medio,0,0,0,0
19,M,Rural,74.9,100.0,0,Medio,Secundaria,Primaria,0,7.8,1,0,Alto,0,1,1,0
14,F,Rural,70.1,84.0,1,Bajo,Secundaria,Secundaria,0,9.6,1,0,Alto,1,0,1,0
15,M,Urbana,73.1,100.0,0,Medio,Secundaria,Superior,0,0.4,1,1,Medio,0,0,0,0
19,M,Urbana,100.0,99.9,1,Medio,Ninguno,Superior,0,3.7,1,1,Bajo,0,0,0,0
14,M,Urbana,59.5,59.4,3,Bajo,Primaria,Superior,0,8.8,1,1,Bajo,2,1,0,1
19,M,Rural,90.0,86.4,0,Bajo,Secundaria,Secundaria,1,11.5,1,1,Alto,0,0,0,0
15,F,Rural,67.7,81.2,2,Medio,Primaria,Primaria,1,5.3,1,0,Medio,2,1,0,0
20,M,Urbana,69.3,78.1,1,Medio,Primaria,Ninguno,1,5.1,0,1,Medio,1,1,0,0
16,M,Urbana,91.4,100.0,0,Alto,Primaria,Primaria,1,3.6,1,1,Medio,1,0,0,0
17,M,Urbana,69.2,84.0,1,Medio,Primaria,Secundaria,0,1.8,1,0,Alto,0,0,0,0
18,M,Rural,76.2,83.9,0,Alto,Primaria,Primaria,1,15.7,1,1,Alto,0,0,0,0
14,M,Rural,70.6,76.4,2,Medio,Superior,Secundaria,0,7.3,1,1,Bajo,2,0,1,0
17,F,Urbana,76.8,87.9,1,Bajo,Primaria,Secundaria,0,0.1,1,1,Medio,0,0,0,0
17,M,Urbana,69.3,81.4,1,Bajo,Secundaria,Superior,1,4.4,1,1,Medio,0,0,0,0
19,M,Urbana,83.3,87.7,0,Medio,Ninguno,Primaria,0,3.8,1,0,Alto,0,0,0,0
20,F,Rural,79.0,72.3,2,Bajo,Secundaria,Secundaria,0,8.7,1,1,Alto,2,0,0,0
18,F,Rural,95.6,100.0,0,Alto,Secundaria,Secundaria,0,7.2,1,1,Medio,0,0,0,0
16,M,Urbana,68.4,78.8,2,Medio,Superior,Superior,0,10.1,0,1,Alto,0,0,1,0
16,M,Urbana,81.8,100.0,0,Medio,Primaria,Secundaria,0,8.6,1,1,Medio,0,0,0,0
16,M,Urbana,68.3,79.5,2,Medio,Secundaria,Primaria,0,1.0,1,0,Bajo,0,1,0,0
19,F,Urbana,82.8,91.9,0,Medio,Secundaria,Ninguno,1,2.3,1,0,Alto,1,0,1,0
16,M,Rural,64.8,84.2,0,Medio,Secundaria,Superior,0,9.0,1,0,Medio,0,0,0,0
15,M,Urbana,50.7,66.6,4,Bajo,Superior,Secundaria,0,3.0,1,0,Alto,2,1,0,1
16,F,Rural,58.1,79.7,3,Bajo,Secundaria,Secundaria,0,8.3,1,0,Medio,2,0,0,1
14,M,Urbana,66.0,81.8,1,Bajo,Secundaria,Secundaria,0,4.5,1,1,Medio,0,0,1,0
14,M,Urbana,76.6,76.1,1,Bajo,Superior,Secundaria,1,3.3,0,0,Medio,1,0,0,0
14,F,Urbana,85.5,91.6,0,Medio,Superior,Secundaria,1,0.8,1,1,Medio,0,2,1,0
19,M,Urbana,60.9,82.5,3,Bajo,Primaria,Superior,0,1.1,1,0,Bajo,1,0,1,1
19,F,Urbana,69.7,82.3,2,Bajo,Primaria,Superior,0,2.3,1,0,Alto,1,0,0,1
18,F,Rural,56.9,98.4,0,Alto,Secundaria,Primaria,0,18.8,1,0,Medio,0,1,1,0
17,M,Urbana,75.3,92.4,1,Alto,Superior,Ninguno,0,4.6,1,1,Medio,1,1,1,0
19,F,Urbana,92.5,100.0,0,Medio,Primaria,Ninguno,0,1.6,1,0,Medio,0,0,0,0
15,F,Urbana,85.4,100.0,0,Medio,Primaria,Primaria,0,4.2,1,0,Medio,0,0,0,0
20,F,Urbana,65.6,90.3,1,Medio,Secundaria,Superior,0,8.0,1,1,Medio,1,0,0,0
17,M,Rural,81.3,72.8,1,Bajo,Ninguno,Superior,1,6.2,0,1,Medio,2,0,0,0
20,M,Rural,65.4,77.5,0,Medio,Primaria,Primaria,0,12.4,1,0,Medio,0,0,0,0
15,M,Urbana,88.7,96.2,0,Bajo,Ninguno,Primaria,0,2.0,1,1,Medio,2,0,0,0
17,F,Rural,100.0,99.5,0,Medio,Ninguno,Secundaria,0,5.2,1,1,Medio,1,1,0,0
18,M,Rural,71.8,99.3,2,Alto,Secundaria,Superior,0,7.4,1,1,Bajo,0,0,0,1
17,F,Rural,80.2,72.4,1,Medio,Primaria,Secundaria,0,8.6,1,1,Medio,1,0,0,0
17,F,Urbana,60.7,89.6,1,Alto,Primaria,Primaria,0,0.1,1,1,Alto,2,0,1,0
15,F,Urbana,66.2,88.7,2,Medio,Secundaria,Primaria,0,6.9,1,1,Medio,0,0,1,1
16,M,Urbana,76.3,94.3,0,Medio,Primaria,Secundaria,0,4.0,1,1,Alto,0,0,0,0
15,M,Rural,82.5,86.3,0,Medio,Primaria,Secundaria,0,7.7,1,1,Bajo,1,0,0,0
16,F,Rural,71.0,84.7,2,Medio,Primaria,Superior,0,6.4,1,0,Alto,2,0,0,0
18,M,Urbana,81.9,95.8,0,Medio,Ninguno,Superior,0,4.0,1,0,Alto,0,0,0,0
18,M,Urbana,67.8,92.5,1,Bajo,Secundaria,Ninguno,0,2.0,1,0,Medio,0,0,0,0
18,F,Rural,73.8,92.8,0,Medio,Ninguno,Primaria,1,9.0,1,0,Medio,0,1,1,0
16,F,Rural,56.5,76.1,2,Bajo,Primaria,Primaria,0,5.7,1,0,Bajo,2,1,0,0
20,F,Urbana,80.2,100.0,0,Medio,Primaria,Primaria,0,7.4,1,1,Alto,0,0,0,0
14,F,Rural,66.3,89.9,0,Bajo,Primaria,Primaria,1,9.1,1,0,Medio,0,0,0,0
16,M,Urbana,79.9,91.8,1,Medio,Primaria,Ninguno,0,0.9,1,0,Medio,1,0,0,0
14,M,Urbana,62.5,75.2,2,Bajo,Primaria,Ninguno,0,1.5,1,0,Bajo,1,0,1,1
16,M,Urbana,62.4,73.7,2,Bajo,Primaria,Superior,0,2.1,1,0,Bajo,3,1,0,0
20,M,Rural,60.1,80.7,0,Medio,Ninguno,Ninguno,0,8.6,1,1,Alto,0,1,0,0
16,F,Rural,66.3,70.9,3,Bajo,Superior,Superior,0,8.3,1,0,Medio,2,1,0,0
20,M,Urbana,86.1,94.4,0,Alto,Primaria,Primaria,0,1.2,1,1,Medio,0,0,0,0
17,F,Urbana,69.5,82.6,1,Medio,Ninguno,Primaria,0,0.3,1,1,Bajo,2,0,0,1
18,F,Urbana,78.1,84.2,1,Medio,Secundaria,Ninguno,0,0.6,0,1,Medio,0,0,0,0
17,F,Urbana,83.1,86.5,1,Bajo,Secundaria,Ninguno,0,5.3,1,0,Alto,0,1,0,0
15,M,Urbana,62.8,83.1,2,Alto,Secundaria,Primaria,0,2.1,1,1,Alto,0,0,1,0
19,M,Urbana,88.9,100.0,0,Medio,Ninguno,Superior,0,0.4,1,0,Medio,0,0,0,1
20,F,Urbana,73.7,100.0,0,Medio,Primaria,Superior,0,4.9,1,0,Medio,0,0,1,0
15,F,Urbana,74.2,71.4,3,Bajo,Superior,Ninguno,0,0.6,0,1,Bajo,0,2,0,0
19,M,Urbana,81.6,89.3,0,Medio,Primaria,Ninguno,1,6.2,1,1,Medio,0,1,0,1
15,M,Rural,75.6,93.9,1,Alto,Primaria,Primaria,0,7.0,1,0,Medio,0,1,0,0
19,F,Urbana,82.6,90.1,1,Medio,Secundaria,Secundaria,0,6.8,1,0,Alto,0,0,0,0
19,F,Urbana,72.3,70.7,4,Bajo,Superior,Primaria,0,3.6,1,1,Bajo,2,1,0,0
17,M,Rural,79.2,87.5,3,Bajo,Primaria,Primaria,1,11.4,0,0,Medio,2,1,0,0
19,M,Urbana,77.1,91.5,0,Bajo,Secundaria,Superior,0,7.4,1,1,Medio,0,0,0,0
15,F,Urbana,91.7,100.0,0,Medio,Primaria,Superior,0,1.8,1,1,Medio,0,0,1,0
14,F,Urbana,82.5,88.1,0,Alto,Secundaria,Secundaria,0,0.8,1,1,Medio,0,0,0,0
14,F,Urbana,72.6,100.0,1,Alto,Primaria,Primaria,0,6.3,1,1,Medio,1,0,0,0
17,M,Urbana,83.0,99.3,0,Medio,Secundaria,Primaria,0,1.5,1,1,Medio,0,0,0,0
20,M,Urbana,65.4,77.2,2,Bajo,Ninguno,Primaria,1,1.3,0,1,Medio,1,1,0,0
14,F,Urbana,95.9,100.0,0,Alto,Secundaria,Secundaria,0,1.3,0,0,Medio,0,0,0,0
17,F,Urbana,80.9,76.1,1,Bajo,Primaria,Secundaria,0,1.3,1,1,Alto,0,0,1,0
18,F,Urbana,63.8,72.6,3,Bajo,Secundaria,Primaria,0,0.2,1,1,Bajo,1,0,0,1
15,M,Urbana,69.1,87.0,2,Medio,Secundaria,Superior,0,2.8,1,0,Medio,0,0,0,0
19,M,Urbana,79.5,83.5,1,Bajo,Secundaria,Secundaria,0,1.9,1,0,Alto,1,0,1,0
16,M,Urbana,99.7,100.0,0,Alto,Superior,Secundaria,0,1.7,1,1,Medio,0,0,0,0
19,M,Rural,65.3,67.6,3,Alto,Primaria,Ninguno,1,12.5,1,0,Bajo,2,2,1,0
18,F,Urbana,76.0,87.7,1,Medio,Secundaria,Primaria,0,10.2,1,0,Alto,2,1,0,0
17,M,Urbana,84.2,91.1,1,Medio,Ninguno,Ninguno,0,7.9,1,0,Bajo,0,1,0,1
15,F,Urbana,83.1,100.0,0,Medio,Superior,Secundaria,0,2.1,1,1,Alto,0,0,0,0
17,F,Urbana,61.3,69.9,3,Bajo,Secundaria,Ninguno,0,0.2,1,1,Bajo,2,1,0,0
19,F,Rural,69.1,72.5,2,Medio,Primaria,Primaria,1,7.9,1,1,Alto,1,0,0,1
14,F,Urbana,64.8,66.7,1,Medio,Primaria,Secundaria,0,3.4,0,0,Bajo,2,0,0,1
19,M,Urbana,100.0,100.0,0,Alto,Secundaria,Secundaria,0,0.4,1,0,Medio,0,0,1,0
17,F,Rural,60.2,74.8,2,Bajo,Secundaria,Secundaria,0,5.8,1,1,Alto,1,1,0,0
19,M,Rural,66.0,78.2,4,Bajo,Secundaria,Secundaria,0,10.2,1,0,Medio,1,0,0,1
18,M,Rural,95.1,95.1,0,Medio,Secundaria,Secundaria,0,6.0,1,0,Medio,1,1,1,0
17,M,Urbana,51.2,81.3,2,Medio,Primaria,Secundaria,0,1.4,1,0,Bajo,3,0,0,0
16,M,Urbana,72.0,76.2,3,Medio,Superior,Primaria,0,0.4,0,1,Bajo,4,1,0,1
18,F,Urbana,68.1,94.6,1,Alto,Secundaria,Ninguno,0,4.4,1,1,Medio,1,0,0,0
14,M,Urbana,77.8,86.0,0,Bajo,Secundaria,Primaria,0,8.5,1,1,Medio,1,0,0,0
18,M,Urbana,68.4,91.6,0,Medio,Secundaria,Ninguno,0,1.9,1,0,Medio,1,0,1,0
14,M,Rural,69.0,87.9,1,Bajo,Secundaria,Secundaria,0,7.3,1,0,Alto,2,0,1,0
18,M,Urbana,71.5,79.7,2,Bajo,Secundaria,Secundaria,0,8.7,1,0,Alto,2,0,0,1
18,F,Urbana,74.5,89.2,1,Medio,Secundaria,Primaria,0,1.0,0,0,Alto,0,0,0,0
